City,Region,Year,Population,Avg_Income_USD,Num_Furniture_Stores,Market_Size_USD_Millions,CAGR_Percent,Wood_Share,Plastic_Share,Metal_Share,Wicker_Share,Fabric_Share,Online_Share,Offline_Share,Residential_Share,Commercial_Share,IKEA_Revenue_USD_M,Godrej_Revenue_USD_M,Pepperfry_Revenue_USD_M,UrbanLadder_Revenue_USD_M,Nilkamal_Revenue_USD_M,Lamps_Lighting_Revenue_USD_M,Kitchen_Dining_Revenue_USD_M,Home_Decor_Revenue_USD_M,Living_Room_Revenue_USD_M,Bedroom_Revenue_USD_M,Outdoor_Revenue_USD_M,Home_Office_Revenue_USD_M,Kids_Furniture_Revenue_USD_M,Latitude,Longitude,Sofas_Sold,DiningTables_Sold,HouseholdItems_Sold,DecorItems_Sold,HomeOffice_Sold,KidsFurniture_Sold,OutdoorFurniture_Sold,KitchenFurniture_Sold
Kochi,South India,2020,10144553,1495.76,503,121.72,8.7,61.21,10.96,8,2.2,17.63,34.36,65.64,66.79,33.21,22.2,15.27,18.56,12.33,7.38,9.03,20.11,13.59,27.63,22.22,6.9,13.22,9.03,9.9312,76.2673,1737,623,1925,1192,346,375,474,241
Kochi,South India,2021,24978373,1493.9,796,15.76,6.19,67.18,14.87,9.31,3.6,5.04,17.37,82.63,60.26,39.74,1.21,2.62,3.99,3.54,0,1.39,2.02,1.62,3.92,3.26,1.39,1.56,0.6,9.9312,76.2673,1505,846,1990,610,472,296,199,437
Kochi,South India,2022,11009797,1447.3,426,53.89,9.54,63.38,13.11,9.79,4.17,9.55,24.3,75.7,69.95,30.05,9.33,8.75,5.59,2.56,2.73,5.18,6.53,7.28,11.35,9.84,4.31,5.26,4.16,9.9312,76.2673,1336,402,1724,372,516,483,325,301
Kochi,South India,2023,3973317,2316.25,139,93.89,7.23,63.77,8.05,9.99,3.22,14.97,16.1,83.9,59.58,40.42,14.35,17.76,15.18,7.42,5.85,8.84,9.03,13.25,19,20.55,11.24,8.32,3.65,9.9312,76.2673,1662,1054,2522,203,130,142,647,734
Madurai,South India,2018,13947154,2254.24,778,127.09,9.15,69.97,5.91,8.05,1.39,14.68,28.05,71.95,70.36,29.64,28.17,27.15,10.66,8.77,9.92,7.92,14.99,19.96,25.23,22.91,14.45,11.77,9.85,9.9252,78.1198,1582,535,2941,1053,467,317,117,435
Madurai,South India,2019,14392196,1802.71,104,92.83,11.19,75.09,10.47,6.93,2.82,4.69,22.15,77.85,69.43,30.57,12.95,13.75,7.71,5.19,4.09,5.87,11.74,12.64,24.35,14.86,5.85,10.59,6.94,9.9252,78.1198,389,211,1332,1185,658,370,324,933
Madurai,South India,2020,2137958,1265.77,399,114.96,11.57,65.18,10.22,8.8,2.74,13.06,24.41,75.59,67.36,32.64,19.08,19.36,15.65,3.07,10.39,8.42,10.01,21.06,29.26,16.5,11.39,10.8,7.54,9.9252,78.1198,915,664,1096,1333,745,111,100,892
Madurai,South India,2021,6692339,2025.11,347,120.92,9.32,66.65,9.7,7.9,3.16,12.59,21.86,78.14,66.96,33.04,28.07,13.98,18.08,9.95,7.05,8.04,15.12,19.57,28.68,20.39,8.29,11.54,9.28,9.9252,78.1198,1190,579,2940,1260,207,349,189,744
Madurai,South India,2022,18691315,1400.12,173,71.85,11.57,71.96,7.78,6.79,2.46,11.01,31.26,68.74,67.16,32.84,15.94,11.74,5.22,6.06,2.56,4.21,9.85,12.79,17.56,11.45,3.98,6.52,5.5,9.9252,78.1198,997,729,1199,782,683,452,685,525
Madurai,South India,2023,10863577,1557.8,396,83.92,5.18,73.75,13.06,8.7,1.38,3.11,28.28,71.72,71.35,28.65,10.13,11.7,14.49,4.23,7.27,7.85,9.78,13.5,18.76,15.64,8.78,5.95,3.66,9.9252,78.1198,1573,892,2146,1254,517,352,473,189
Madurai,South India,2018,10754714,2851.54,378,148.06,10.13,76.12,6.2,5.05,2.67,9.96,34.81,65.19,61.88,38.12,37.32,28.08,22.25,11.09,7.82,9.12,20.72,23.45,29.2,26.09,11.96,15.71,11.81,9.9252,78.1198,1578,824,2518,580,719,302,489,279
Madurai,South India,2019,6533770,3023.26,530,63.26,9.71,61.03,14.24,6.12,2.04,16.57,17.53,82.47,56.31,43.69,13.43,9.28,8.38,1.68,3.48,5.08,7.16,8.04,14.4,12.52,5.22,6.72,4.11,9.9252,78.1198,1911,460,940,1491,497,527,87,359
Madurai,South India,2020,14868975,1699.49,477,57.77,8.47,75.15,12.73,5.12,1.96,5.04,26.78,73.22,60.57,39.43,15.67,6.78,9.66,6.93,1.99,6.16,6.11,7.41,10.51,13.68,3.95,4.86,5.09,9.9252,78.1198,1197,620,2360,1234,371,418,523,642
Madurai,South India,2021,7782382,2858.51,614,100.67,8.74,69.78,6.98,6.59,2.84,13.81,28.19,71.81,61.36,38.64,17.35,11.68,5.08,8.97,7.99,9.03,13.63,13.97,24.58,13.47,11.62,7.63,6.73,9.9252,78.1198,1270,958,2140,543,782,209,407,257
Madurai,South India,2022,5688348,2024.99,125,57.04,6.43,63.14,10.66,9.73,3.89,12.58,28.23,71.77,66.84,33.16,13.11,5.17,7.84,4.29,5.21,3.32,6.78,8.33,12.9,13.35,6.01,4.07,2.27,9.9252,78.1198,1431,321,2029,365,215,215,369,614
Madurai,South India,2023,18323232,1862.83,65,18.41,10.58,71.91,9.5,8.58,4.53,5.48,20.33,79.67,70.24,29.76,3.54,4.5,1.32,0,3.57,1.69,2.56,2.84,3.46,3.75,1.74,0.99,1.38,9.9252,78.1198,967,725,2867,899,685,254,590,798
Lucknow,North India,2018,4933682,2874.16,144,129.62,6.4,69.11,14.23,7.34,2.45,6.87,33.33,66.67,74.82,25.18,16.92,27.18,12.84,6.31,5.52,12.7,15.43,19.72,28.11,17.88,14.22,13.08,8.49,26.8467,80.9462,893,180,1594,541,355,316,440,366
Lucknow,North India,2019,16546115,2300.69,329,40.54,10.98,71.57,5.61,8.54,2.44,11.84,32.11,67.89,73.15,26.85,9.84,7.19,4.08,0.41,3.5,4.1,5.35,7.4,9.03,5.31,4.13,2.68,2.53,26.8467,80.9462,888,196,1067,1242,180,187,678,985
Lucknow,North India,2020,5674367,3411.62,560,91.82,10.12,71.22,14.45,6.63,3.84,3.86,29.73,70.27,59.56,40.44,12.48,15.26,7.39,4.59,5.36,6.81,14.72,13.74,19.65,15.92,6.24,7.06,7.69,26.8467,80.9462,784,279,735,1179,227,417,298,662
Lucknow,North India,2021,20068195,1264.33,530,100.24,9.33,60.88,8.61,6.93,1.16,22.42,28,72,66.37,33.63,19.64,9.5,9.51,7.71,8.55,7.14,9.91,18.81,17.38,21.52,13.1,7.67,4.7,26.8467,80.9462,1281,501,1804,1407,334,492,485,643
Lucknow,North India,2022,4876042,1588.99,758,113.61,7.14,79.49,10.87,7.41,1.43,0.8,25.99,74.01,73.11,26.89,27.59,19.78,14.21,9,7.79,7.6,17.5,14.82,30.04,18.68,6.87,12.84,5.25,26.8467,80.9462,1271,1127,1685,744,652,66,299,362
Lucknow,North India,2023,9971980,1361.04,98,29.19,5.35,73.91,9.93,5.76,2.04,8.36,16.27,83.73,70.64,29.36,6.75,7.35,3.36,1.38,1.37,2.4,3.42,4.57,7.01,3.92,3.15,2.25,2.47,26.8467,80.9462,1581,207,1532,1233,280,117,674,739
Srinagar,North India,2018,22519644,3064.18,524,15.05,6.63,75.98,9.24,6.29,4.01,4.48,23.49,76.51,73.59,26.41,0.7,2.48,2.2,0.16,2.99,1.21,1.9,2.39,3.19,2.82,1.42,1.5,0.62,34.0837,74.7973,938,961,2607,391,256,182,186,455
Srinagar,North India,2019,23404065,2808.97,383,25.64,7.67,63.38,10.28,5.74,2.6,18,28.79,71.21,70.16,29.84,5.25,4.87,3.45,1.34,2.89,2.48,2.28,4.51,5.87,3.99,2.69,1.95,1.87,34.0837,74.7973,1296,917,2340,519,553,479,660,541
Srinagar,North India,2020,5670630,2457.89,726,126.2,6.85,66.86,14.35,8.08,4.47,6.24,19.5,80.5,64.19,35.81,18.76,23.52,10.41,6.96,8.93,9.83,13.47,18.73,33.49,19.33,13.64,8.56,9.16,34.0837,74.7973,581,832,724,779,670,357,688,954
Srinagar,North India,2021,18823048,3278.94,485,94.34,5.26,73.74,10.68,6.01,4.27,5.3,20.93,79.07,57.85,42.15,18.5,18.28,4.75,8.1,9.92,8.66,8.78,15.89,21.56,16.75,9.1,7.63,5.96,34.0837,74.7973,1285,1146,2342,674,123,223,365,313
Srinagar,North India,2022,6017275,2631.86,798,128.35,5.42,75.78,13.12,5.02,4.47,1.61,17.11,82.89,65.97,34.03,17.02,16.81,20.31,9.25,6.32,9.85,13.95,19.53,34.61,21.75,9.68,11.93,7.05,34.0837,74.7973,1411,435,1081,836,572,461,87,427
Srinagar,North India,2023,2471294,1601.44,552,146.58,5.39,74.88,10.13,7.17,2.46,5.36,22.38,77.62,67.68,32.32,15.27,18.2,14.38,3.88,8.52,13.25,14.62,25.7,26.01,25.67,17.19,16.43,7.71,34.0837,74.7973,1527,1035,668,626,499,146,268,764
Chennai,South India,2018,22973357,2939.94,674,137.82,9.6,66.35,7.25,9.6,2.07,14.73,31.69,68.31,74.33,25.67,22.45,29.01,17.22,8.24,7.44,8.18,14.6,22.74,32.84,24.08,12.82,13.27,9.29,13.0827,80.2707,315,546,1965,1282,691,203,160,625
Chennai,South India,2019,17800049,2795.85,53,99.77,11.2,73.21,14.52,7.01,4.83,0.43,21.86,78.14,70.97,29.03,21.22,19.21,9.71,7.45,10.18,6.31,14.91,13.17,19.52,16.3,13.21,8.24,8.09,13.0827,80.2707,1474,175,513,296,233,291,187,400
Chennai,South India,2020,23222346,3281.55,306,40.59,10.37,61.14,7.45,7.44,4.59,19.38,34.49,65.51,57.15,42.85,7.41,4.73,5.95,1.42,5.22,3.83,3.95,6.24,8.58,7.05,5.32,2.96,2.66,13.0827,80.2707,1235,462,2711,695,520,353,400,922
Chennai,South India,2021,23138017,2883.36,94,86.01,7.16,61.71,6.72,7.28,2.63,21.66,25.3,74.7,55.22,44.78,22.4,8.6,11.94,11.76,2.96,5.12,12.17,15.4,18.17,16.68,9.61,5.11,3.74,13.0827,80.2707,553,275,1943,860,312,334,658,794
Chennai,South India,2022,18282879,3172.53,478,138.71,9.09,77.12,12.29,9.11,4.42,-2.94,32.71,67.29,72.1,27.9,26,19.91,15.16,6.47,10.01,9.48,14.46,20.04,32.92,24.4,16.09,12.94,8.38,13.0827,80.2707,1511,960,2370,1488,581,76,425,909
Chennai,South India,2023,23241202,2797.42,191,21.16,10.7,73.24,9.37,6.7,3.9,6.79,16.41,83.59,64.17,35.83,3.17,2.44,1.48,2.86,2.06,2.07,1.97,2.6,4.73,3.97,2.34,2.07,1.41,13.0827,80.2707,628,337,2043,208,447,451,407,558
Agartala,East India,2018,6635725,2885.13,380,92.55,6.78,66.45,10.6,7.08,1.41,14.46,31.76,68.24,59.25,40.75,19.99,20.27,12.52,8.27,8.58,6.51,12.01,13.82,19.7,19.33,6.84,9.78,4.56,23.8315,91.2868,843,847,2189,656,265,409,634,834
Agartala,East India,2019,9414881,3128.86,131,40.19,9.08,74.69,5.3,9.63,2.28,8.1,28.86,71.14,62.65,37.35,8.19,6.7,2.65,1.95,2.6,2.89,5.88,7.04,8.36,7.34,3.34,2.33,3.01,23.8315,91.2868,1082,959,2071,472,447,109,381,727
Agartala,East India,2020,2868084,2594.37,588,45.69,8.11,66.75,12.82,5.3,3.14,11.99,25.22,74.78,62.28,37.72,8.06,8.58,8.45,4.41,3.21,4.78,5.19,8.52,10.01,7.97,3.75,2.61,2.85,23.8315,91.2868,1296,865,1551,1139,497,251,279,602
Agartala,East India,2021,18597272,1409.44,92,61.72,6.15,64.97,10.36,9.64,3.45,11.58,34.26,65.74,73.15,26.85,10.2,7.02,4.1,7.97,6.77,5.47,7.38,9.36,14.37,10.67,5.68,4.97,3.83,23.8315,91.2868,1720,599,2231,1231,682,419,498,342
Agartala,East India,2022,7923627,3379.47,545,136.62,7.23,67.04,11.25,6.05,2.49,13.17,27.48,72.52,61.62,38.38,21.37,15.03,9.84,11.18,5.36,8.41,19.85,25.67,32.08,26.6,10.88,7.82,5.32,23.8315,91.2868,1840,672,945,407,534,582,118,868
Agartala,East India,2023,23931115,3396.63,141,71.54,7.33,75.58,13.29,9.78,3.86,-2.51,28.78,71.22,69.79,30.21,12.02,12.5,11.54,3.82,3.64,4.62,8.07,8.7,14.35,14.47,8.34,6.96,6.02,23.8315,91.2868,1782,1135,1215,1346,676,201,386,236
Hyderabad,South India,2018,7207948,3447.02,548,126.4,11.58,71.84,12.23,9.82,2.55,3.56,27.25,72.75,72.61,27.39,28.08,21.21,13.3,4.84,8.18,8.82,18.71,16.44,28.3,22.29,8.52,15.14,8.18,17.385,78.4867,1653,807,1318,1256,320,151,83,311
Hyderabad,South India,2019,18038647,2692.04,283,57.91,8.91,61.83,10.74,6.56,2.02,18.85,15.1,84.9,70.92,29.08,10.72,10.4,5.98,5.98,6.07,4.5,7.33,10.01,13.41,9.39,5.67,4.51,3.09,17.385,78.4867,1144,746,2651,403,407,495,156,907
Hyderabad,South India,2020,22713690,1451.59,800,46.78,7.46,71.89,5.94,8.09,4.26,9.82,23.97,76.03,57.13,42.87,14.7,10.47,3.42,6.7,3.46,2.86,5.47,6.16,11.04,9.09,3.69,5.01,3.46,17.385,78.4867,1492,249,925,717,796,278,547,737
Hyderabad,South India,2021,8354324,2843.1,188,89.41,11.19,68.5,13.01,8.92,2.99,6.58,16.86,83.14,57.29,42.71,21.54,14.05,7.76,6.08,5.07,7.65,9.65,12.35,21.1,18.26,9.06,5.7,5.63,17.385,78.4867,665,765,1624,716,565,174,258,635
Hyderabad,South India,2022,10129026,1658.52,613,96.06,8.55,65.89,6.49,9.42,3.43,14.77,20.1,79.9,68.47,31.53,12.51,8.16,8.67,7.88,3.28,9.97,13.11,16.71,18.61,19.93,6.35,5.79,5.59,17.385,78.4867,1501,1097,2064,642,198,285,355,649
Hyderabad,South India,2023,7839115,2361.27,268,82.56,11.28,75.76,10.61,6.7,4.9,2.03,21.38,78.62,72.94,27.06,17.89,11.79,3.61,4.2,3.53,5.59,11.4,12,14.39,19.34,5.17,9.2,5.48,17.385,78.4867,954,705,1349,888,341,211,231,426
Jaipur,North India,2018,22924262,1926.63,460,112.27,11.18,76.62,7.56,9.95,2.59,3.28,24.75,75.25,56.32,43.68,28.55,14.88,9.45,6.8,7.73,8.29,15.79,13.39,26.84,20.42,7.8,11.24,8.5,26.9124,75.7873,1685,427,2045,1049,257,402,243,651
Jaipur,North India,2019,13236264,1245.06,411,148.84,7.82,60.05,9.53,9.25,3.27,17.9,22.01,77.99,72.33,27.67,33.1,26.18,17.73,6.46,9.4,11.48,13.87,21.99,32.77,34.5,12.11,14.89,7.23,26.9124,75.7873,1059,640,1629,1032,709,117,369,241
Jaipur,North India,2020,6089571,2160.63,529,138.48,6.29,70.1,13.15,6.46,3.35,6.94,21.42,78.58,63.93,36.07,24.48,29.9,21.78,7.22,7.81,12.04,17.39,22.03,36.29,24.25,9.07,10.66,6.76,26.9124,75.7873,938,404,2202,538,653,222,457,768
Jaipur,North India,2021,9263150,2290.17,731,71.47,8.9,72.46,9.61,6.48,4.1,7.35,18.88,81.12,57.98,42.02,18.22,9.34,8.08,3.68,3.52,5.48,8.68,10.46,19.41,13.95,4.49,4.46,4.53,26.9124,75.7873,1363,530,2501,1359,750,310,389,711
Jaipur,North India,2022,17797128,3153.02,111,23.77,11.2,78.14,6.87,7.57,2.07,5.35,16.88,83.12,56.95,43.05,4.42,1.82,4.13,3.04,1.65,2.51,2.5,3.27,6.1,4.12,2.24,1.92,1.1,26.9124,75.7873,1223,1041,776,586,326,266,468,273
Jaipur,North India,2023,4193494,1427.65,383,48.39,10.49,74.84,10.48,6.76,3.72,4.2,20.86,79.14,56.51,43.49,8.29,7.53,3.94,2.35,3.66,4.47,4.84,8,9.58,8.24,6.19,2.96,4.1,26.9124,75.7873,715,691,2306,1248,522,173,262,989
Shimla,North India,2018,13459429,2416.56,740,88.89,11.41,64,9.28,7.83,4.8,14.09,29.95,70.05,60.18,39.82,12.38,12.4,6.21,6.97,4.65,6.87,8.83,17.51,15.85,17.23,8.98,6.91,6.7,31.1048,77.1734,1678,974,2735,705,171,211,385,656
Shimla,North India,2019,11430017,3380.13,328,27.67,7.74,69.7,8.21,8.11,1.12,12.86,33.9,66.1,57.92,42.08,2.89,3.23,2.93,4.69,4.71,1.69,4,4.76,5.77,4.94,2.59,2.89,1.02,31.1048,77.1734,554,1028,2439,879,342,250,151,571
Shimla,North India,2020,11561090,2308.16,584,45,10.16,71.43,13.06,5.15,2.58,7.78,32.98,67.02,70.81,29.19,9.16,6.55,3.48,1.08,3.39,3.44,6.43,6.78,8.49,9.68,3.09,4.28,2.81,31.1048,77.1734,1466,430,2652,889,629,503,298,288
Shimla,North India,2021,14187242,2160.76,189,121.29,6.41,72.81,7.11,9.26,2.21,8.61,32.62,67.38,61.85,38.15,20.84,19.11,8.62,11.38,7.7,11.04,14.85,19.84,26.8,16.45,13.06,11.23,8.03,31.1048,77.1734,1009,922,1045,1084,688,451,252,178
Shimla,North India,2022,1283961,1234.25,144,39.24,7.96,63.3,11.56,9.52,1.53,14.09,28.38,71.62,58.57,41.43,10.81,2.33,7.43,4.42,4.16,2.35,3.63,5.36,9.48,8.11,3.74,3.51,3.06,31.1048,77.1734,876,992,2927,1318,144,511,351,420
Shimla,North India,2023,10459019,2215.82,146,67.22,6.46,72.01,10.78,5.79,2.16,9.26,34.5,65.5,73.87,26.13,14.69,14.48,6.15,3.66,3,5.28,9.27,14.11,12.96,12.85,5.29,4.87,2.6,31.1048,77.1734,1199,868,609,822,571,324,547,672
Srinagar,North India,2018,20668244,1979.25,243,120.77,7.76,73.29,11.03,5.53,1.1,9.05,25.44,74.56,56.98,43.02,17.55,18.35,17.33,11.96,6.29,12.6,16.56,20.65,25.98,16.09,12.21,10.02,6.66,34.0837,74.7973,310,477,1044,1369,470,255,348,669
Srinagar,North India,2019,23358934,1830.29,752,99.68,9.19,67.69,5.32,7.2,1.29,18.5,20.36,79.64,59.06,40.94,21.82,16.56,14.72,6.17,5.5,7.85,11.37,19.38,19.18,18.82,6.63,11.19,5.27,34.0837,74.7973,1943,360,2901,1092,751,89,99,236
Srinagar,North India,2020,24895879,2685.85,786,110.81,8.4,79.88,7.35,5.11,4.64,3.02,31.15,68.85,65.33,34.67,17.34,18.89,12.71,5.33,8.76,9.67,10.11,19.62,23.28,15.31,12.65,11.29,8.88,34.0837,74.7973,325,876,1242,1152,788,322,657,906
Srinagar,North India,2021,3739740,2983.81,361,76.9,5.99,70.47,7.56,8.54,2.1,11.33,28.23,71.77,56.23,43.77,12.95,13.48,10.73,5.01,8.02,5.96,11.54,10.86,15.98,16.37,4.71,6.23,5.25,34.0837,74.7973,1256,1072,2864,1454,191,142,582,901
Srinagar,North India,2022,17742292,2142.27,91,88.59,10.39,79.85,5.06,7.35,2.54,5.2,23.44,76.56,64.79,35.21,15.81,5.72,10.57,8.59,7.2,8.31,10.5,11.38,22.06,18.29,4.76,6.66,6.63,34.0837,74.7973,720,701,1789,983,121,91,226,246
Srinagar,North India,2023,13561735,2319.51,297,133.75,5.57,68.5,12.4,7.02,2.65,9.43,33.73,66.27,70.37,29.63,17.03,10.51,10.49,13.84,9.13,11.21,18.29,19.53,34.87,24.69,10.8,8.32,6.05,34.0837,74.7973,1986,175,2375,694,271,514,508,524
Agartala,East India,2018,14130520,1224.57,69,82.28,8.91,67.19,7.5,6.07,3.3,15.94,26.16,73.84,58.49,41.51,16.45,15.49,5.77,6.24,3.85,5.11,10.74,10.75,16.69,16.98,10.43,5.25,6.33,23.8315,91.2868,1544,176,1588,1261,703,428,244,518
Agartala,East India,2019,8127116,1664.18,796,27.87,5.28,63.74,9.51,7,3.8,15.95,23.73,76.27,62.89,37.11,5.59,3.53,3.34,1.21,2.4,2.58,3.64,3.62,6.45,5.55,2.24,1.6,2.19,23.8315,91.2868,795,851,832,946,291,156,389,634
Agartala,East India,2020,23620974,2135.13,591,121.23,8.46,61.1,13.65,8.29,4.02,12.94,21.34,78.66,69.39,30.61,16.89,14.02,16.56,10.55,6.89,9.41,16.91,21.83,28.16,16.55,9.35,11.44,7.58,23.8315,91.2868,1560,831,2036,636,176,377,597,924
Agartala,East India,2021,12493527,2311.54,76,41.41,6.31,79.47,13.65,9.09,4.96,-7.17,19.54,80.46,67.45,32.55,7.18,5.22,5.61,3.41,4.27,2.82,6.3,4.64,8.34,9.04,3.9,4.45,1.93,23.8315,91.2868,536,562,1656,544,380,114,93,617
Agartala,East India,2022,8442126,1512.33,462,125.18,5.98,61.96,7.36,7.88,1.91,20.89,26.11,73.89,68.95,31.05,20.83,12.73,18.39,8.06,5.12,12,12.65,17.06,21.49,28.26,15.81,11.53,6.37,23.8315,91.2868,1308,316,1091,1383,463,414,211,647
Agartala,East India,2023,14865086,1948.8,498,13.74,5.75,77.69,14.01,7.1,2.53,-1.33,26.03,73.97,65.34,34.66,1.54,4.9,2.86,3.59,0.68,0.94,1.88,1.66,3.25,2.72,1.27,1.13,0.9,23.8315,91.2868,518,318,1282,749,278,533,518,517
Nagpur,Central India,2018,18355773,2912,278,69.15,8.93,74.47,10.79,8.42,1.57,4.75,25.13,74.87,67.96,32.04,16.53,9.82,12.04,8.66,3.65,7.06,6.85,10.84,14.81,12.82,8.61,5.89,2.27,21.1458,79.0882,1810,378,1039,1019,337,73,342,384
Nagpur,Central India,2019,19238609,2664.41,790,115.82,6.21,61.45,8.38,5.37,3.48,21.32,25.18,74.82,73.98,26.02,18.06,17.29,15.61,12.42,5.43,9.47,13.63,15.59,27.82,16.75,14.24,12.72,5.59,21.1458,79.0882,760,516,2058,740,234,589,304,870
Nagpur,Central India,2020,8865923,2866.92,252,42.91,9.72,79.9,12.26,8.63,3.89,-4.68,18.89,81.11,69.63,30.37,7.5,4.81,6.59,2.77,1.11,3.68,5.81,6.45,8.66,7.97,5.29,3.3,1.74,21.1458,79.0882,962,677,2019,343,379,111,337,382
Nagpur,Central India,2021,12258267,1206.09,279,113.29,10.48,78.25,13.21,6.62,1.95,-0.03,31.82,68.18,55.4,44.6,25.09,10.71,8.51,8.83,6.19,6.8,14.19,12.99,28.93,17.33,13.4,11.95,7.71,21.1458,79.0882,934,940,1118,787,118,540,313,517
Nagpur,Central India,2022,11049623,3047.07,599,77.56,11.88,76.62,10.61,5.71,1.01,6.05,28.19,71.81,63.91,36.09,13.97,9.29,12.59,6.81,2.99,6.72,9.59,10.48,14.39,14.9,10.77,7.6,3.12,21.1458,79.0882,1467,673,2333,856,694,322,415,765
Nagpur,Central India,2023,24119998,2881.66,457,95.81,10.67,79.06,13.57,8.81,3.79,-5.23,20.59,79.41,72.23,27.77,19.59,19.04,3.76,5.18,4.02,9.85,8.92,16.51,23.07,12.58,10.23,8.53,6.12,21.1458,79.0882,1289,255,1491,544,470,278,488,844
Porbandar,West India,2018,1403483,3262.29,547,100.19,9.97,79.5,6.84,7.64,1.84,4.18,27.39,72.61,59.42,40.58,15.46,18.8,5.87,7.52,7.77,8.13,10.25,17.51,18.21,20.65,10.33,9.43,5.67,21.6417,69.6293,488,881,2646,1492,211,69,103,646
Porbandar,West India,2019,21139453,2219.03,478,132.69,8.73,74.54,12.4,8.56,3,1.5,33.8,66.2,60.23,39.77,18.3,14.58,10.54,13.37,10.14,13.86,19.11,22.99,31.62,20.02,8.44,12.13,4.5,21.6417,69.6293,554,1114,2864,895,775,52,350,555
Porbandar,West India,2020,20797901,1992.16,219,28.48,6.08,64.83,7.62,6.35,3.23,17.97,24.7,75.3,59.06,40.94,8.23,6.04,3.45,2.86,4.12,2.94,3.54,4.12,5.57,5.37,3.16,1.74,2.04,21.6417,69.6293,367,282,2670,467,779,470,174,959
Porbandar,West India,2021,8015752,2137.75,385,87.4,10.28,66.49,12.26,5.85,4.08,11.32,15.01,84.99,57.05,42.95,24.08,18.6,7.61,5.87,8.37,8.35,7.91,13.23,21.53,16.57,9.98,5.55,4.28,21.6417,69.6293,915,683,2116,368,320,356,221,479
Porbandar,West India,2022,23645452,3054.04,536,66,5.05,77.24,13.91,7.33,1.99,-0.47,30.74,69.26,65.24,34.76,12.88,14.3,3.03,6.4,2.45,6.7,6.68,10.36,13.63,11.57,5.11,6.82,5.13,21.6417,69.6293,635,1124,2018,232,403,481,160,248
Porbandar,West India,2023,7742678,1361.85,90,17.53,10.21,76.52,12.17,9.77,2.92,-1.38,25.93,74.07,60.82,39.18,2.77,1.22,1.63,4.18,3.34,1.44,2.43,2.95,4.22,2.77,1.46,1.39,0.88,21.6417,69.6293,970,418,1021,576,424,185,353,983
Bhopal,Central India,2018,2382809,1598.22,712,128.82,5.29,66.76,6.02,5.83,4.71,16.68,24.63,75.37,56.29,43.71,30.12,17.93,21.01,13.36,6.32,13.97,17.14,14.73,31.42,22.88,13.37,9.59,5.73,23.2599,77.4126,1120,822,1416,1437,536,564,355,753
Bhopal,Central India,2019,2350339,1353.65,735,133.62,8.9,65.13,10.08,6.29,2.43,16.07,34.33,65.67,57.51,42.49,22.71,25.17,16.44,6.4,4.76,13.57,14.16,23.64,26.39,24.6,10.41,13.37,7.49,23.2599,77.4126,1173,940,1216,592,537,242,544,360
Bhopal,Central India,2020,2019424,2763.73,466,93.29,9.78,69.71,5.9,9.64,4.72,10.03,25.1,74.9,61.35,38.65,22.12,9.85,8.34,5.86,6.55,9.58,11.29,12.55,18.86,17.97,11.89,7.79,3.35,23.2599,77.4126,1732,167,2862,688,269,464,287,746
Bhopal,Central India,2021,3321183,2639.16,392,62.49,10.51,78.18,13.2,7,4.4,-2.78,26.23,73.77,63.24,36.76,5.51,11.76,7.09,8.81,7.5,4.64,6.72,10.62,11.89,11.41,6.08,6.26,4.86,23.2599,77.4126,599,266,2436,921,474,167,375,828
Bhopal,Central India,2022,17635975,2806.17,763,39.92,5.53,70.01,11.06,5.82,4.89,8.22,16.95,83.05,66.81,33.19,8.41,5.96,4.38,4.32,2.43,2.91,4,6.46,8.12,8.72,3.68,3.15,2.88,23.2599,77.4126,1925,947,1059,1145,656,258,118,341
Bhopal,Central India,2023,21439120,3403.1,125,67.63,7.61,69.68,5.54,9.04,1.05,14.69,21.51,78.49,64.98,35.02,8.08,9.35,4.02,5.08,2.07,5.25,9.66,11.38,18,9.93,4.98,5.79,2.64,23.2599,77.4126,656,700,1468,1252,480,83,367,333
Ahmedabad,West India,2018,5873994,1254.38,671,71.29,10.59,77.25,14.18,9.62,3.16,-4.21,17.46,82.54,58.86,41.14,13.47,10.8,4.58,6.75,1.54,7.26,10.45,8.87,12.49,13.48,7.87,6.61,4.26,23.0225,72.5714,555,1078,2903,238,113,367,203,711
Ahmedabad,West India,2019,10743888,2492.32,98,90.57,6.04,60.57,7.5,7.85,3.32,20.76,30.98,69.02,59.79,40.21,11.55,7.68,9.15,6.09,6.25,7.09,12.85,14.94,22.87,13.11,9.13,6.28,4.3,23.0225,72.5714,1307,902,1577,1396,768,169,362,894
Ahmedabad,West India,2020,21859761,1881.1,705,111.44,10.73,67.28,8.14,8.02,1.47,15.09,34.72,65.28,65.69,34.31,20.16,13.81,10.27,10.91,6.05,5.98,16.57,17.84,22.63,21.73,6.32,11.46,8.9,23.0225,72.5714,652,571,1389,1240,599,574,259,254
Ahmedabad,West India,2021,20642580,2038.86,303,109.14,10.23,63.85,9.25,5.31,3,18.59,16.58,83.42,58.86,41.14,11.67,15.7,12.43,5.5,8.27,7.45,12.4,19.39,27.63,18.53,6.41,10.33,6.99,23.0225,72.5714,1844,795,1292,1279,745,138,176,937
